Date,High,Low,Volume,Market Cap
"Oct 02, 2019",70.87,69.65,"164,619,887","643,049,844"
"Oct 01, 2019",72.70,69.87,"214,628,256","639,794,753"
"Sep 30, 2019",71.96,67.55,"218,298,028","644,490,956"
"Sep 29, 2019",71.84,68.05,"187,343,276","629,405,017"
"Sep 28, 2019",72.36,70.92,"212,554,942","651,170,189"
"Sep 27, 2019",72.20,67.85,"242,836,100","652,131,225"
"Sep 26, 2019",73.63,67.15,"209,364,896","626,812,674"
"Sep 25, 2019",76.17,70.01,"281,828,717","662,008,601"
"Sep 24, 2019",88.50,70.88,"261,957,987","660,151,235"
"Sep 23, 2019",91.76,87.39,"230,898,224","791,261,135"
"Sep 22, 2019",94.18,91.41,"213,969,220","830,609,846"
"Sep 21, 2019",97.03,93.52,"204,689,152","848,112,966"
"Sep 20, 2019",100.55,96.01,"247,488,316","877,732,900"
"Sep 19, 2019",104.28,91.37,"371,945,615","909,045,731"
"Sep 18, 2019",98.16,94.59,"299,130,439","887,194,385"
"Sep 17, 2019",97.04,91.22,"263,625,773","858,659,761"
"Sep 16, 2019",93.48,88.58,"236,260,884","838,506,407"
"Sep 15, 2019",91.68,89.19,"218,503,109","806,313,555"
"Sep 14, 2019",94.60,90.74,"253,643,873","827,271,734"
"Sep 13, 2019",94.27,85.11,"235,816,614","842,847,025"
"Sep 12, 2019",90.79,81.99,"238,978,713","770,648,577"
"Sep 11, 2019",85.34,82.34,"173,750,574","747,991,225"
"Sep 10, 2019",87.78,82.98,"164,513,699","757,159,326"
"Sep 09, 2019",89.02,85.93,"184,918,831","786,844,141"
"Sep 08, 2019",87.86,84.13,"170,509,823","792,223,214"
"Sep 07, 2019",84.45,80.29,"186,581,412","760,557,889"
"Sep 06, 2019",83.13,78.57,"212,197,139","725,219,112"
"Sep 05, 2019",82.11,80.40,"180,982,478","726,989,061"
"Sep 04, 2019",82.98,80.43,"181,916,602","732,705,323"
"Sep 03, 2019",83.96,80.36,"192,725,799","748,237,440"
"Sep 02, 2019",83.23,79.93,"195,249,831","735,948,934"
"Sep 01, 2019",81.04,78.80,"149,634,077","721,956,273"
"Aug 31, 2019",81.01,78.79,"206,431,548","722,882,315"
"Aug 30, 2019",82.07,79.47,"157,841,920","725,837,019"
"Aug 29, 2019",84.97,78.99,"157,127,218","722,744,004"
"Aug 28, 2019",91.14,84.76,"160,998,762","764,997,750"
"Aug 27, 2019",92.74,90.20,"125,590,276","816,566,032"
"Aug 26, 2019",93.58,91.19,"153,344,606","835,128,601"
"Aug 25, 2019",92.99,90.90,"148,936,751","822,765,308"
"Aug 24, 2019",93.96,90.34,"145,816,130","831,218,616"
"Aug 23, 2019",95.23,90.32,"225,009,605","843,219,319"
"Aug 22, 2019",92.40,87.97,"245,507,277","820,594,475"
"Aug 21, 2019",93.96,87.28,"175,275,582","811,348,926"
"Aug 20, 2019",98.19,93.35,"152,098,244","844,604,955"
"Aug 19, 2019",98.11,94.27,"138,241,467","881,946,323"
"Aug 18, 2019",96.63,91.76,"130,360,202","854,767,039"
"Aug 17, 2019",94.40,91.31,"126,384,743","833,294,378"
"Aug 16, 2019",95.54,92.07,"153,973,787","846,627,669"
"Aug 15, 2019",96.92,92.35,"203,677,926","854,959,202"
