Date,High,Low,Volume,Market Cap
"Oct 02, 2019",180.83,175.33,"6,335,595,250","19,514,521,236"
"Oct 01, 2019",185.05,175.81,"7,676,276,225","19,148,222,892"
"Sep 30, 2019",179.87,167.04,"7,552,915,148","19,419,149,343"
"Sep 29, 2019",175.21,167.00,"6,497,088,199","18,405,401,315"
"Sep 28, 2019",175.78,170.77,"6,895,423,445","18,842,313,324"
"Sep 27, 2019",175.61,163.21,"7,909,313,625","18,854,855,889"
"Sep 26, 2019",171.69,157.13,"7,848,286,154","17,991,000,062"
"Sep 25, 2019",174.72,164.91,"9,766,632,018","18,438,188,568"
"Sep 24, 2019",203.50,162.73,"11,757,739,233","18,135,747,380"
"Sep 23, 2019",211.84,201.89,"7,494,673,136","21,780,534,855"
"Sep 22, 2019",216.09,207.64,"7,812,854,576","22,815,755,536"
"Sep 21, 2019",220.96,215.00,"7,743,309,778","23,241,121,351"
"Sep 20, 2019",221.60,215.16,"8,027,974,273","23,511,410,671"
"Sep 19, 2019",222.87,204.69,"10,620,070,913","23,856,751,722"
"Sep 18, 2019",216.71,208.05,"9,194,634,557","22,787,891,774"
"Sep 17, 2019",213.73,196.72,"10,232,590,812","22,484,889,435"
"Sep 16, 2019",198.20,189.69,"8,242,029,488","21,243,167,877"
"Sep 15, 2019",190.40,186.45,"6,222,874,780","20,451,239,362"
"Sep 14, 2019",188.45,180.37,"6,500,686,511","20,267,272,633"
"Sep 13, 2019",181.50,178.58,"5,955,041,237","19,511,050,764"
"Sep 12, 2019",182.00,177.85,"5,838,605,477","19,498,542,852"
"Sep 11, 2019",181.76,176.50,"7,157,139,035","19,249,367,782"
"Sep 10, 2019",184.06,178.12,"6,291,476,772","19,361,276,593"
"Sep 09, 2019",184.15,177.42,"7,232,938,985","19,505,534,124"
"Sep 08, 2019",182.98,178.14,"6,472,677,266","19,525,276,831"
"Sep 07, 2019",180.85,169.44,"6,791,531,342","19,189,873,689"
"Sep 06, 2019",177.72,168.34,"6,797,611,878","18,293,376,881"
"Sep 05, 2019",176.16,171.75,"5,589,476,516","18,749,645,579"
"Sep 04, 2019",180.14,175.33,"5,938,120,494","18,938,360,723"
"Sep 03, 2019",182.35,175.97,"6,962,728,938","19,313,265,198"
"Sep 02, 2019",180.15,170.45,"6,503,447,137","19,186,913,439"
"Sep 01, 2019",173.70,169.53,"5,554,799,576","18,461,846,968"
"Aug 31, 2019",174.32,167.80,"5,830,212,249","18,549,906,272"
"Aug 30, 2019",170.77,167.07,"5,776,520,220","18,156,660,601"
"Aug 29, 2019",174.00,167.17,"7,129,569,083","18,227,677,831"
"Aug 28, 2019",187.93,172.19,"6,696,604,087","18,695,530,287"
"Aug 27, 2019",188.96,185.47,"6,042,327,402","20,158,029,984"
"Aug 26, 2019",193.44,186.74,"7,207,986,636","20,307,338,403"
"Aug 25, 2019",192.16,184.96,"5,826,017,143","20,080,495,261"
"Aug 24, 2019",194.78,187.63,"6,249,737,982","20,555,802,874"
"Aug 23, 2019",195.91,189.56,"6,658,162,377","20,920,364,879"
"Aug 22, 2019",194.42,183.38,"7,569,043,874","20,555,295,233"
"Aug 21, 2019",197.03,182.69,"7,775,772,700","20,075,644,245"
"Aug 20, 2019",203.02,195.62,"6,408,417,610","21,112,106,339"
"Aug 19, 2019",203.56,193.11,"6,145,148,692","21,810,324,618"
"Aug 18, 2019",197.52,183.69,"5,969,012,024","20,884,307,088"
"Aug 17, 2019",186.70,182.59,"5,512,696,513","19,936,235,953"
"Aug 16, 2019",188.91,180.38,"7,133,915,837","19,907,120,204"
"Aug 15, 2019",189.46,178.14,"8,197,244,441","20,233,249,251"
"Aug 14, 2019",209.07,186.33,"7,444,456,154","20,027,397,541"
"Aug 13, 2019",211.38,205.42,"5,946,313,205","22,396,531,009"
"Aug 12, 2019",216.14,210.95,"5,674,315,559","22,670,420,643"
"Aug 11, 2019",216.60,206.51,"6,440,605,605","23,183,002,869"
"Aug 10, 2019",213.73,203.79,"6,584,748,527","22,176,113,561"
"Aug 09, 2019",221.36,208.25,"6,964,818,795","22,576,055,651"
"Aug 08, 2019",226.77,216.52,"6,713,525,644","23,694,202,562"
"Aug 07, 2019",229.66,222.78,"7,020,342,210","24,275,514,217"
"Aug 06, 2019",239.12,223.55,"7,647,742,672","24,232,708,406"
"Aug 05, 2019",235.64,222.60,"7,765,060,287","25,108,076,876"
"Aug 04, 2019",224.23,218.49,"5,238,542,572","23,867,371,249"
"Aug 03, 2019",224.62,217.33,"5,697,798,687","23,845,116,864"
"Aug 02, 2019",222.18,215.98,"6,159,440,229","23,347,127,327"
"Aug 01, 2019",218.81,212.91,"5,965,442,642","23,337,361,749"
"Jul 31, 2019",218.65,210.44,"6,003,828,340","23,425,015,630"
"Jul 30, 2019",213.61,206.87,"5,489,918,859","22,551,013,736"
"Jul 29, 2019",213.93,208.76,"5,485,190,664","22,627,969,069"
"Jul 28, 2019",212.04,202.25,"5,504,887,934","22,616,386,468"
"Jul 27, 2019",223.52,204.90,"6,257,703,908","22,208,955,063"
"Jul 26, 2019",220.24,214.13,"5,729,852,178","23,514,586,698"
"Jul 25, 2019",224.25,216.14,"6,731,281,160","23,510,336,984"
"Jul 24, 2019",217.54,203.89,"7,168,982,843","23,232,101,232"
"Jul 23, 2019",218.52,209.64,"6,976,091,534","22,767,023,810"
"Jul 22, 2019",226.86,213.45,"6,338,843,919","23,281,138,563"
"Jul 21, 2019",229.86,219.03,"6,685,082,868","24,141,704,293"
"Jul 20, 2019",234.20,221.19,"7,976,245,988","24,511,869,214"
"Jul 19, 2019",226.94,215.84,"7,606,433,131","23,675,884,534"
"Jul 18, 2019",229.24,208.04,"9,327,816,059","24,232,572,603"
"Jul 17, 2019",217.98,193.99,"9,387,747,640","22,616,651,114"
"Jul 16, 2019",234.51,197.38,"9,036,620,494","21,298,941,499"
"Jul 15, 2019",235.03,210.39,"9,723,674,244","24,566,488,597"
"Jul 14, 2019",269.64,227.27,"8,578,339,386","24,328,422,207"
"Jul 13, 2019",276.69,263.07,"6,716,829,429","28,801,816,023"
"Jul 12, 2019",278.86,268.00,"8,148,936,015","29,526,802,979"
"Jul 11, 2019",290.02,266.09,"10,216,287,022","28,713,849,048"
"Jul 10, 2019",313.07,285.57,"11,679,985,167","30,985,827,113"
"Jul 09, 2019",318.22,305.29,"10,055,159,803","32,998,749,928"
"Jul 08, 2019",314.27,303.50,"9,078,905,628","33,461,369,498"
"Jul 07, 2019",310.14,286.11,"8,119,724,981","32,650,611,906"
"Jul 06, 2019",295.99,286.67,"7,674,615,025","30,707,785,756"
"Jul 05, 2019",293.92,282.69,"8,723,493,015","30,751,916,427"
"Jul 04, 2019",303.96,282.77,"8,403,513,106","30,377,082,394"
"Jul 03, 2019",303.34,291.40,"9,926,711,979","32,356,299,765"
"Jul 02, 2019",295.66,272.60,"10,618,413,952","31,124,332,021"
"Jul 01, 2019",301.03,280.02,"10,292,223,948","31,338,571,563"
"Jun 30, 2019",322.79,290.70,"10,303,111,000","31,020,295,932"
"Jun 29, 2019",322.04,294.75,"10,929,374,565","34,149,263,832"
"Jun 28, 2019",313.03,292.94,"11,514,656,820","33,202,586,960"
"Jun 27, 2019",343.43,278.57,"14,038,092,503","31,389,390,615"
