Date,High,Low,Volume,Market Cap
"Oct 02, 2019",56.89,55.60,"2,113,331,224","3,581,752,017"
"Oct 01, 2019",57.57,55.51,"2,325,767,310","3,552,792,224"
"Sep 30, 2019",56.16,53.32,"2,241,248,501","3,552,325,139"
"Sep 29, 2019",55.89,53.00,"1,825,233,237","3,441,861,229"
"Sep 28, 2019",56.57,54.64,"1,975,938,676","3,527,794,899"
"Sep 27, 2019",56.70,53.77,"2,324,084,589","3,570,419,888"
"Sep 26, 2019",57.83,51.84,"2,663,433,163","3,518,070,664"
"Sep 25, 2019",58.36,54.25,"3,360,298,410","3,651,789,616"
"Sep 24, 2019",67.61,55.82,"3,919,809,840","3,535,218,521"
"Sep 23, 2019",74.05,64.33,"3,215,899,051","4,233,164,124"
"Sep 22, 2019",73.55,71.80,"2,494,428,147","4,597,645,596"
"Sep 21, 2019",75.57,72.91,"2,572,614,027","4,654,112,106"
"Sep 20, 2019",77.05,73.87,"3,148,504,140","4,756,922,829"
"Sep 19, 2019",78.05,73.38,"3,778,427,056","4,877,292,702"
"Sep 18, 2019",79.66,74.15,"3,665,577,129","4,934,275,012"
"Sep 17, 2019",76.64,72.42,"3,104,946,341","4,696,563,797"
"Sep 16, 2019",73.27,70.11,"2,652,253,522","4,591,727,205"
"Sep 15, 2019",71.23,69.97,"2,330,572,400","4,448,378,327"
"Sep 14, 2019",71.16,68.49,"2,439,744,085","4,463,527,330"
"Sep 13, 2019",69.72,67.91,"2,368,931,048","4,363,467,464"
"Sep 12, 2019",70.15,68.74,"2,316,445,209","4,377,939,287"
"Sep 11, 2019",71.41,68.97,"2,569,282,757","4,421,472,828"
"Sep 10, 2019",72.67,70.07,"2,893,715,133","4,477,994,431"
"Sep 09, 2019",70.81,68.52,"2,654,086,135","4,437,564,022"
"Sep 08, 2019",71.11,68.94,"2,776,939,870","4,459,610,897"
"Sep 07, 2019",70.29,64.90,"2,763,572,250","4,363,628,897"
"Sep 06, 2019",67.89,64.89,"2,595,201,216","4,122,321,157"
"Sep 05, 2019",67.62,64.62,"2,379,080,140","4,132,391,771"
"Sep 04, 2019",69.24,67.06,"2,696,779,274","4,251,369,351"
"Sep 03, 2019",70.71,66.64,"2,816,706,430","4,367,373,936"
"Sep 02, 2019",67.55,64.96,"2,400,017,919","4,228,918,428"
"Sep 01, 2019",66.77,64.50,"2,228,146,663","4,177,872,605"
"Aug 31, 2019",65.27,63.01,"2,283,340,831","4,078,358,696"
"Aug 30, 2019",65.44,62.61,"2,377,466,438","4,062,542,325"
"Aug 29, 2019",67.43,63.63,"3,092,332,444","4,047,272,938"
"Aug 28, 2019",73.05,66.54,"2,883,041,616","4,256,892,976"
"Aug 27, 2019",73.93,72.37,"2,489,689,274","4,597,966,230"
"Aug 26, 2019",74.99,72.12,"3,046,136,697","4,661,893,373"
"Aug 25, 2019",74.73,71.17,"2,227,400,267","4,563,612,040"
"Aug 24, 2019",75.69,72.32,"2,191,973,575","4,636,016,950"
"Aug 23, 2019",75.69,72.87,"2,496,513,401","4,757,819,433"
"Aug 22, 2019",74.57,71.31,"2,908,864,703","4,643,456,772"
"Aug 21, 2019",75.47,70.58,"2,878,567,011","4,602,987,629"
"Aug 20, 2019",77.44,73.94,"2,430,165,429","4,743,207,580"
"Aug 19, 2019",78.51,75.88,"2,346,796,021","4,873,084,523"
"Aug 18, 2019",77.56,71.67,"2,743,241,606","4,809,876,077"
"Aug 17, 2019",75.33,72.27,"2,482,385,549","4,590,467,351"
"Aug 16, 2019",77.17,73.07,"3,016,089,036","4,723,824,771"
"Aug 15, 2019",78.51,73.00,"3,654,075,558","4,815,969,361"
"Aug 14, 2019",85.55,75.96,"3,093,090,406","4,794,992,635"
"Aug 13, 2019",86.32,83.35,"2,681,787,838","5,320,229,477"
"Aug 12, 2019",89.71,85.63,"2,716,187,719","5,404,272,824"
"Aug 11, 2019",91.03,85.45,"3,025,787,942","5,655,924,170"
"Aug 10, 2019",87.11,83.14,"3,088,060,147","5,382,272,086"
"Aug 09, 2019",90.36,83.49,"3,003,278,177","5,319,984,195"
"Aug 08, 2019",91.72,88.50,"3,034,717,882","5,671,748,769"
"Aug 07, 2019",93.74,88.54,"3,105,989,436","5,726,708,990"
"Aug 06, 2019",98.98,91.66,"3,245,339,849","5,861,986,121"
"Aug 05, 2019",105.59,93.09,"4,134,352,823","6,098,470,159"
"Aug 04, 2019",95.39,91.45,"2,427,608,117","5,868,857,449"
"Aug 03, 2019",96.84,94.16,"2,512,959,054","5,954,227,577"
"Aug 02, 2019",99.20,93.54,"2,882,784,454","5,975,497,672"
"Aug 01, 2019",100.26,95.98,"2,953,184,689","6,240,801,535"
"Jul 31, 2019",99.48,90.33,"3,051,471,469","6,197,337,878"
"Jul 30, 2019",92.19,89.02,"2,302,521,844","5,696,275,523"
"Jul 29, 2019",91.39,88.57,"2,457,824,867","5,686,062,706"
"Jul 28, 2019",90.41,85.35,"2,460,180,908","5,643,415,873"
"Jul 27, 2019",95.65,87.70,"2,626,517,608","5,586,678,799"
"Jul 26, 2019",94.55,90.75,"2,260,844,511","5,925,662,076"
"Jul 25, 2019",95.85,92.47,"2,690,273,677","5,870,441,888"
"Jul 24, 2019",96.42,88.15,"3,247,150,970","5,923,434,071"
"Jul 23, 2019",95.48,89.44,"2,700,924,026","5,690,513,769"
"Jul 22, 2019",100.25,92.30,"2,693,989,249","5,990,269,582"
"Jul 21, 2019",101.47,96.95,"2,829,054,215","6,253,213,998"
"Jul 20, 2019",104.61,97.71,"3,771,308,934","6,313,476,233"
"Jul 19, 2019",101.18,95.72,"3,983,990,085","6,173,653,347"
"Jul 18, 2019",103.15,87.45,"4,890,332,056","6,340,559,063"
"Jul 17, 2019",93.05,77.50,"4,616,360,556","5,632,042,532"
"Jul 16, 2019",92.06,77.50,"3,703,346,636","4,984,318,767"
"Jul 15, 2019",92.63,85.68,"3,570,361,793","5,699,307,530"
"Jul 14, 2019",101.68,88.81,"3,717,531,246","5,625,773,339"
"Jul 13, 2019",105.59,98.01,"3,353,538,171","6,329,505,235"
"Jul 12, 2019",106.36,101.21,"3,611,846,208","6,595,612,500"
"Jul 11, 2019",108.57,97.28,"4,633,853,162","6,427,725,958"
"Jul 10, 2019",120.10,103.82,"4,699,511,838","6,792,744,022"
"Jul 09, 2019",124.17,118.23,"3,785,641,025","7,475,393,728"
"Jul 08, 2019",125.08,118.60,"3,803,750,017","7,714,781,783"
"Jul 07, 2019",120.33,117.64,"3,348,662,401","7,527,688,155"
"Jul 06, 2019",121.29,117.33,"3,484,378,308","7,369,730,846"
"Jul 05, 2019",120.65,117.15,"4,110,868,217","7,401,137,488"
"Jul 04, 2019",126.67,119.05,"4,564,200,301","7,501,164,315"
"Jul 03, 2019",123.74,118.37,"4,529,682,890","7,661,188,686"
"Jul 02, 2019",123.29,112.65,"4,761,878,443","7,451,762,463"
"Jul 01, 2019",126.02,114.22,"5,034,162,436","7,658,690,466"
"Jun 30, 2019",136.26,120.44,"5,525,273,220","7,636,046,758"
"Jun 29, 2019",135.74,116.22,"5,745,785,825","8,347,117,542"
"Jun 28, 2019",122.02,113.47,"4,683,311,766","7,501,601,230"
"Jun 27, 2019",132.04,110.67,"5,588,611,122","7,141,234,400"
"Jun 26, 2019",138.32,128.94,"5,565,887,285","8,191,677,323"
"Jun 25, 2019",138.12,130.89,"4,411,092,400","8,515,726,713"
"Jun 24, 2019",138.69,132.83,"3,907,725,105","8,454,028,780"
"Jun 23, 2019",142.56,136.32,"3,998,980,168","8,536,077,179"
"Jun 22, 2019",146.43,138.48,"5,488,615,002","8,847,068,564"
"Jun 21, 2019",141.07,135.51,"4,378,260,963","8,656,823,083"
"Jun 20, 2019",137.08,132.64,"3,880,682,308","8,442,646,197"
