Date,High,Low,Volume,Market Cap
"Oct 02, 2019",461.71,440.09,"10,294,652","450,706,283"
"Oct 01, 2019",461.81,442.40,"11,457,079","454,451,452"
"Sep 30, 2019",454.49,418.23,"8,805,015","453,359,666"
"Sep 29, 2019",455.39,421.97,"8,370,084","430,221,630"
"Sep 28, 2019",463.47,435.01,"10,618,275","443,653,158"
"Sep 27, 2019",461.68,431.56,"13,406,794","451,097,174"
"Sep 26, 2019",465.67,416.03,"9,414,506","448,217,440"
"Sep 25, 2019",465.01,435.95,"11,743,543","444,843,854"
"Sep 24, 2019",516.92,422.70,"11,912,259","439,268,266"
"Sep 23, 2019",539.38,505.18,"15,063,652","505,997,620"
"Sep 22, 2019",554.75,522.09,"10,665,537","528,596,953"
"Sep 21, 2019",564.39,525.64,"13,794,780","547,994,046"
"Sep 20, 2019",574.41,535.50,"13,421,343","556,226,966"
"Sep 19, 2019",552.76,508.57,"13,692,214","547,953,758"
"Sep 18, 2019",542.33,498.83,"14,129,904","525,266,161"
"Sep 17, 2019",513.26,452.11,"12,536,278","504,853,781"
"Sep 16, 2019",485.63,459.12,"11,938,595","463,753,745"
"Sep 15, 2019",487.49,455.24,"10,248,673","474,484,180"
"Sep 14, 2019",480.38,448.91,"13,679,413","462,873,546"
"Sep 13, 2019",469.64,447.91,"9,414,430","454,096,202"
"Sep 12, 2019",477.89,444.87,"11,969,143","458,139,283"
"Sep 11, 2019",497.83,459.91,"10,828,175","469,910,194"
"Sep 10, 2019",495.59,470.49,"11,168,539","478,085,943"
"Sep 09, 2019",489.38,443.10,"13,057,870","480,436,729"
"Sep 08, 2019",460.04,433.24,"12,872,900","449,193,485"
"Sep 07, 2019",447.15,418.26,"14,033,338","442,288,041"
"Sep 06, 2019",475.09,406.19,"17,949,497","420,481,947"
"Sep 05, 2019",474.92,452.81,"14,230,896","461,520,395"
"Sep 04, 2019",488.55,460.60,"14,450,718","468,372,200"
"Sep 03, 2019",492.88,463.32,"14,473,054","478,104,392"
"Sep 02, 2019",486.53,456.40,"14,872,172","479,710,355"
"Sep 01, 2019",489.43,457.96,"14,496,351","467,561,614"
"Aug 31, 2019",485.69,464.82,"14,747,752","474,911,544"
"Aug 30, 2019",479.43,460.57,"14,718,268","477,212,591"
"Aug 29, 2019",490.32,457.95,"13,566,617","466,411,551"
