Date,High,Low,Volume,Market Cap
"Oct 02, 2019",56.71,54.78,"75,303,904","966,418,664"
"Oct 01, 2019",58.19,55.70,"72,773,127","962,569,246"
"Sep 30, 2019",57.20,53.91,"74,691,742","979,256,440"
"Sep 29, 2019",58.07,54.89,"63,364,565","967,928,071"
"Sep 28, 2019",58.27,56.65,"99,077,632","999,114,430"
"Sep 27, 2019",58.49,55.88,"143,938,186","1,000,086,501"
"Sep 26, 2019",60.20,55.26,"135,169,851","991,933,619"
"Sep 25, 2019",61.30,57.88,"101,072,792","1,031,288,247"
"Sep 24, 2019",70.32,58.64,"95,665,012","1,020,031,003"
"Sep 23, 2019",73.19,68.72,"82,509,889","1,183,612,640"
"Sep 22, 2019",74.11,71.45,"72,664,744","1,260,457,544"
"Sep 21, 2019",74.01,72.47,"81,569,539","1,254,110,607"
"Sep 20, 2019",77.72,72.92,"96,275,560","1,274,297,482"
"Sep 19, 2019",81.76,72.99,"102,437,633","1,308,947,290"
"Sep 18, 2019",82.01,74.00,"133,480,584","1,407,616,896"
"Sep 17, 2019",75.47,73.84,"91,576,290","1,278,694,194"
"Sep 16, 2019",76.46,72.04,"100,063,838","1,296,842,627"
"Sep 15, 2019",76.30,74.23,"57,294,722","1,302,670,693"
"Sep 14, 2019",76.98,73.94,"76,842,770","1,308,504,093"
"Sep 13, 2019",76.91,72.93,"85,283,907","1,323,399,134"
"Sep 12, 2019",75.49,72.08,"83,013,460","1,292,619,735"
"Sep 11, 2019",74.41,70.16,"71,687,582","1,279,276,461"
"Sep 10, 2019",75.98,71.77,"74,484,010","1,242,478,097"
"Sep 09, 2019",77.51,74.62,"57,047,927","1,292,522,716"
"Sep 08, 2019",79.55,76.79,"58,161,503","1,330,742,273"
"Sep 07, 2019",78.74,74.22,"63,405,428","1,348,125,193"
"Sep 06, 2019",79.53,75.40,"64,191,502","1,299,992,029"
"Sep 05, 2019",76.32,73.68,"66,866,817","1,306,063,901"
"Sep 04, 2019",74.91,71.88,"53,928,209","1,270,927,261"
"Sep 03, 2019",75.45,73.17,"72,236,098","1,288,006,651"
"Sep 02, 2019",73.64,70.05,"67,068,912","1,257,776,999"
"Sep 01, 2019",74.32,66.93,"50,287,115","1,233,580,704"
"Aug 31, 2019",68.13,66.40,"50,249,218","1,160,574,931"
"Aug 30, 2019",68.09,66.27,"61,604,445","1,165,868,721"
"Aug 29, 2019",72.33,67.04,"61,387,907","1,153,889,513"
"Aug 28, 2019",79.53,72.15,"86,518,785","1,243,199,619"
"Aug 27, 2019",79.73,77.54,"70,865,118","1,343,433,234"
"Aug 26, 2019",83.49,79.07,"95,830,525","1,369,000,475"
"Aug 25, 2019",82.20,79.27,"97,178,649","1,380,344,265"
"Aug 24, 2019",82.18,78.65,"89,694,958","1,386,455,561"
"Aug 23, 2019",83.65,81.23,"98,854,438","1,410,889,709"
"Aug 22, 2019",83.35,78.54,"96,683,433","1,412,206,741"
"Aug 21, 2019",86.34,79.26,"70,469,159","1,383,082,153"
"Aug 20, 2019",90.98,84.55,"75,036,775","1,471,785,010"
"Aug 19, 2019",90.66,84.78,"80,391,798","1,547,361,966"
"Aug 18, 2019",88.07,81.67,"80,774,014","1,510,667,110"
"Aug 17, 2019",83.70,81.04,"69,658,778","1,406,939,951"
"Aug 16, 2019",83.52,78.33,"69,374,820","1,415,540,444"
"Aug 15, 2019",82.78,74.60,"82,268,894","1,415,880,189"
"Aug 14, 2019",85.51,78.45,"78,512,963","1,346,390,717"
"Aug 13, 2019",91.44,84.88,"90,797,999","1,466,998,910"
"Aug 12, 2019",92.28,90.59,"80,671,664","1,563,889,794"
"Aug 11, 2019",92.34,90.22,"82,229,709","1,582,098,858"
"Aug 10, 2019",94.60,90.69,"87,008,408","1,558,459,811"
"Aug 09, 2019",95.28,91.00,"111,949,649","1,600,795,220"
"Aug 08, 2019",97.60,91.56,"99,485,912","1,631,343,466"
"Aug 07, 2019",97.61,89.33,"120,008,836","1,671,137,373"
"Aug 06, 2019",96.89,88.17,"106,237,722","1,538,253,617"
"Aug 05, 2019",94.69,88.10,"116,283,579","1,605,113,036"
"Aug 04, 2019",89.16,85.98,"91,749,362","1,511,132,702"
"Aug 03, 2019",88.70,83.93,"88,705,504","1,511,207,047"
"Aug 02, 2019",85.48,81.70,"99,591,718","1,437,702,120"
"Aug 01, 2019",82.55,79.92,"90,181,331","1,404,198,476"
"Jul 31, 2019",82.45,78.00,"100,162,528","1,382,045,010"
"Jul 30, 2019",80.21,77.31,"67,774,573","1,342,427,133"
"Jul 29, 2019",80.74,77.52,"82,931,895","1,335,118,265"
"Jul 28, 2019",82.93,77.15,"70,562,694","1,361,217,352"
"Jul 27, 2019",83.10,77.50,"85,930,847","1,350,377,898"
"Jul 26, 2019",81.05,78.71,"80,951,330","1,374,678,152"
"Jul 25, 2019",83.59,80.24,"88,391,921","1,381,198,719"
"Jul 24, 2019",81.82,78.58,"90,737,838","1,377,718,783"
"Jul 23, 2019",83.69,80.13,"117,356,354","1,383,978,460"
"Jul 22, 2019",85.38,81.39,"103,711,508","1,423,503,928"
"Jul 21, 2019",87.44,83.00,"105,487,494","1,436,640,154"
"Jul 20, 2019",87.54,81.82,"105,663,388","1,459,844,265"
"Jul 19, 2019",84.31,80.60,"108,366,439","1,407,919,893"
"Jul 18, 2019",85.25,75.00,"131,312,918","1,438,977,050"
"Jul 17, 2019",80.09,71.42,"125,827,611","1,307,756,308"
"Jul 16, 2019",89.39,73.37,"114,381,208","1,265,849,090"
"Jul 15, 2019",90.32,76.15,"158,841,420","1,530,424,275"
"Jul 14, 2019",94.42,85.65,"120,701,885","1,469,061,989"
"Jul 13, 2019",98.28,89.25,"119,385,278","1,596,219,703"
