Date,High,Low,Volume,Market Cap
"Oct 12, 2019",8415.24,8313.34,"14,532,641,605","149,965,767,624"
"Oct 11, 2019",8721.78,8316.18,"19,604,381,101","149,685,618,275"
"Oct 10, 2019",8625.27,8471.93,"17,618,660,671","154,430,515,160"
"Oct 09, 2019",8627.71,8169.30,"19,384,942,333","154,579,656,110"
"Oct 08, 2019",8332.72,8185.76,"15,592,264,032","147,966,069,982"
"Oct 07, 2019",8308.45,7905.77,"18,009,742,607","148,252,589,805"
"Oct 06, 2019",8161.41,7958.85,"13,160,830,305","143,607,672,862"
"Oct 05, 2019",8215.53,8071.12,"12,200,497,197","146,529,229,668"
"Oct 04, 2019",8260.06,8151.24,"13,139,456,229","147,491,804,056"
"Oct 03, 2019",8414.23,8146.44,"13,668,823,409","148,448,162,840"
"Oct 02, 2019",8393.04,8227.70,"13,125,712,443","150,823,797,662"
"Oct 01, 2019",8497.69,8232.68,"15,305,343,413","149,913,972,768"
"Sep 30, 2019",8314.23,7830.76,"17,115,474,183","149,011,567,415"
"Sep 29, 2019",8261.71,7990.50,"13,034,629,109","145,590,374,681"
"Sep 28, 2019",8285.62,8125.43,"14,141,152,736","148,122,503,616"
"Sep 27, 2019",8271.52,7965.92,"16,408,941,156","148,212,635,834"
"Sep 26, 2019",8515.69,7895.63,"19,258,205,289","145,812,492,488"
"Sep 25, 2019",8744.83,8325.40,"21,744,728,353","152,404,005,091"
"Sep 24, 2019",9804.32,8370.80,"25,002,886,689","154,785,821,876"
"Sep 23, 2019",10074.24,9727.14,"15,144,925,408","174,674,558,023"
"Sep 22, 2019",10074.44,9922.53,"13,199,651,698","180,784,051,699"
"Sep 21, 2019",10188.10,10000.71,"13,425,266,806","179,853,287,294"
"Sep 20, 2019",10285.87,10132.19,"14,734,189,639","182,738,947,696"
"Sep 19, 2019",10295.67,9851.69,"19,937,691,247","184,240,949,577"
"Sep 18, 2019",10275.93,10191.47,"16,169,268,880","182,998,899,156"
"Sep 17, 2019",10296.77,10199.74,"15,304,603,363","183,748,515,828"
"Sep 16, 2019",10386.87,10189.74,"15,160,167,779","184,366,827,555"
"Sep 15, 2019",10387.03,10313.09,"12,043,433,567","185,618,174,384"
"Sep 14, 2019",10422.13,10291.69,"13,468,713,124","185,784,300,332"
"Sep 13, 2019",10441.49,10226.60,"14,109,864,675","185,809,163,035"
"Sep 12, 2019",10442.25,10099.24,"15,323,563,925","186,678,943,059"
"Sep 11, 2019",10215.95,9980.78,"15,428,063,426","182,502,788,242"
"Sep 10, 2019",10394.35,10020.57,"14,906,809,639","181,360,731,383"
"Sep 09, 2019",10450.31,10144.93,"17,595,943,368","185,263,578,990"
"Sep 08, 2019",10595.64,10409.09,"13,670,567,493","187,150,078,007"
"Sep 07, 2019",10558.67,10348.92,"15,307,366,476","188,488,525,926"
"Sep 06, 2019",10898.76,10292.30,"19,536,574,783","185,530,405,363"
"Sep 05, 2019",10627.27,10516.42,"14,551,239,508","189,492,405,383"
"Sep 04, 2019",10762.64,10434.71,"16,742,664,769","189,810,010,608"
"Sep 03, 2019",10736.10,10308.55,"19,384,917,989","190,312,487,956"
"Sep 02, 2019",10396.59,9730.65,"17,248,102,294","185,333,114,163"
"Sep 01, 2019",9796.76,9582.94,"11,445,355,859","174,768,292,883"
"Aug 31, 2019",9673.22,9531.80,"11,454,806,419","172,470,743,516"
"Aug 30, 2019",9656.12,9428.30,"13,595,263,986","171,869,216,524"
"Aug 29, 2019",9756.79,9421.63,"17,045,878,501","170,274,910,132"
"Aug 28, 2019",10279.37,9716.66,"17,603,790,323","174,627,460,400"
"Aug 27, 2019",10381.33,10087.30,"14,762,609,503","182,325,540,955"
"Aug 26, 2019",10512.33,10126.30,"18,438,654,080","185,625,235,889"
"Aug 25, 2019",10304.62,10008.79,"14,153,856,610","181,450,186,164"
"Aug 24, 2019",10418.02,9982.30,"15,451,030,650","181,813,631,752"
"Aug 23, 2019",10442.44,10078.19,"15,627,023,886","186,231,409,722"
"Aug 22, 2019",10233.00,9831.46,"17,097,508,856","181,257,125,783"
"Aug 21, 2019",10798.73,9962.72,"19,473,084,768","181,364,502,142"
"Aug 20, 2019",10947.04,10618.96,"15,053,082,175","192,530,283,565"
"Aug 19, 2019",10916.05,10313.20,"16,038,264,603","195,243,306,008"
"Aug 18, 2019",10487.07,10119.09,"12,999,813,869","185,022,920,955"
"Aug 17, 2019",10452.62,10086.70,"13,778,035,685","182,966,857,173"
"Aug 16, 2019",10524.35,9855.48,"20,228,207,096","185,500,055,339"
